2021-05-15T02:08:59,655 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:08:59,670 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-15T02:08:59,700 TRACE [Test worker]: ClientController                     - deleteClient - method entered; client = null 
2021-05-15T02:08:59,702 TRACE [Test worker]: ClientController                     - deleteClient - method finished 
2021-05-15T02:08:59,732 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:08:59,733 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-15T02:08:59,751 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-15T02:11:48,905 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:11:48,922 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-15T02:11:48,958 TRACE [Test worker]: ClientController                     - deleteClient - method entered; client = null 
2021-05-15T02:11:48,959 TRACE [Test worker]: ClientController                     - deleteClient - method finished 
2021-05-15T02:11:49,016 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:11:49,017 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-15T02:11:49,056 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-15T02:12:06,778 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:12:06,815 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-15T02:12:06,878 TRACE [Test worker]: ClientController                     - deleteClient - method entered; client = null 
2021-05-15T02:12:06,878 TRACE [Test worker]: ClientController                     - deleteClient - method finished 
2021-05-15T02:12:06,941 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:12:06,952 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-15T02:12:07,000 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-15T02:21:41,487 WARN  [Test worker]: PageNotFound                         - No mapping found for HTTP request with URI [/gunProviders] in DispatcherServlet with name '' 
2021-05-15T02:22:50,213 TRACE [Test worker]: GunProviderController                - addGunProvider - method entered; 
2021-05-15T02:22:50,221 TRACE [Test worker]: GunProviderController                - addGunProvider - method finished; result = [GunProviderDto(super=BaseDto(id=1), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null), GunProviderDto(super=BaseDto(id=2), name=gp2, speciality=spec2, reputation=4, gunTypeDtos=null)] 
2021-05-15T02:31:46,735 TRACE [Test worker]: GunProviderController                - addGunProvider - method entered; gunProviderDto = GunProviderDto(super=BaseDto(id=null), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:31:46,752 TRACE [Test worker]: GunProviderController                - addGunProvider - method finished; resultModel = null 
2021-05-15T02:32:28,706 TRACE [Test worker]: GunProviderController                - addGunProvider - method entered; gunProviderDto = GunProviderDto(super=BaseDto(id=null), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:32:28,729 TRACE [Test worker]: GunProviderController                - addGunProvider - method finished; resultModel = null 
2021-05-15T02:32:47,830 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:32:47,862 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-15T02:33:27,002 TRACE [Test worker]: GunProviderController                - addGunProvider - method entered; gunProviderDto = GunProviderDto(super=BaseDto(id=null), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:33:27,020 TRACE [Test worker]: GunProviderController                - addGunProvider - method finished; resultModel = null 
2021-05-15T02:33:44,827 TRACE [Test worker]: GunProviderController                - addGunProvider - method entered; gunProviderDto = GunProviderDto(super=BaseDto(id=null), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:33:44,849 TRACE [Test worker]: GunProviderController                - addGunProvider - method finished; resultModel = null 
2021-05-15T02:33:53,940 TRACE [Test worker]: GunProviderController                - addGunProvider - method entered; gunProviderDto = GunProviderDto(super=BaseDto(id=5), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:33:53,956 TRACE [Test worker]: GunProviderController                - addGunProvider - method finished; resultModel = null 
2021-05-15T02:34:50,709 TRACE [Test worker]: GunProviderController                - addGunProvider - method entered; gunProviderDto = GunProviderDto(super=BaseDto(id=5), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:34:50,724 TRACE [Test worker]: GunProviderController                - addGunProvider - method finished; resultModel = null 
2021-05-15T02:35:39,249 TRACE [Test worker]: GunProviderController                - deleteGunProvider - method entered; result = null 
2021-05-15T02:35:39,264 TRACE [Test worker]: GunProviderController                - deleteGunProvider - method finished; 
2021-05-15T02:36:10,934 TRACE [Test worker]: GunProviderController                - deleteGunProvider - method entered; result = null 
2021-05-15T02:36:10,950 TRACE [Test worker]: GunProviderController                - deleteGunProvider - method finished; 
2021-05-15T02:37:44,178 TRACE [Test worker]: GunProviderController                - updateGunProvider - method entered; dto = GunProviderDto(super=BaseDto(id=1), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:37:44,198 TRACE [Test worker]: GunProviderController                - updateGunProvider - method finished; result = null 
2021-05-15T02:38:16,706 TRACE [Test worker]: GunProviderController                - updateGunProvider - method entered; dto = GunProviderDto(super=BaseDto(id=1), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:38:16,728 TRACE [Test worker]: GunProviderController                - updateGunProvider - method finished; result = null 
2021-05-15T02:39:04,417 TRACE [Test worker]: GunProviderController                - deleteGunProvider - method entered; result = null 
2021-05-15T02:39:04,427 TRACE [Test worker]: GunProviderController                - deleteGunProvider - method finished; 
2021-05-15T02:39:04,670 TRACE [Test worker]: GunProviderController                - updateGunProvider - method entered; dto = GunProviderDto(super=BaseDto(id=1), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null) 
2021-05-15T02:39:04,678 TRACE [Test worker]: GunProviderController                - updateGunProvider - method finished; result = null 
2021-05-15T02:39:04,712 TRACE [Test worker]: GunProviderController                - addGunProvider - method entered; 
2021-05-15T02:39:04,714 TRACE [Test worker]: GunProviderController                - addGunProvider - method finished; result = [GunProviderDto(super=BaseDto(id=2), name=gp2, speciality=spec2, reputation=4, gunTypeDtos=null), GunProviderDto(super=BaseDto(id=1), name=gp1, speciality=spec1, reputation=3, gunTypeDtos=null)] 
